,Unnamed: 0,tweetID,tweet-text,tweet-class
0,0,262632464437088256,Hurricane Sandy is causing the cancellation of blood drives nationwide. You can help http://t.co/QGknfCkc or 1-800-REDCROSS @redcrossbloodrv,request
1,1,262632557751975936,Hurricane Sandy is causing the cancellation of blood drives nationwide. You can help http://t.co/TVnbrpcK or 1-800-REDCROSS @redcrossbloodrv,request
2,2,263126372946419712,RT @kevin_powell: How You Can Help: Volunteer for Hurricane Sandy Shelters Once Storm Passes: http://t.co/ihwcC7wV http://t.co/ZEY5lKCu,request
3,3,263280596699205632,RT @galleycat: How to schedule a blood donation or donate funds to the Red Cross to help hurricane victims: http://t.co/EioZihWz,request
4,4,263297889009295360,"Hurricane Sandy: How you can help: From cash donations to blood drives, you can help the Superstorm Sandy recove... http://t.co/zFw3705u",request
5,5,263317462018301953,How you can help victims of Hurricane Sandy now! http://t.co/lga34bbu http://t.co/0VKhrglG,request
6,6,263325249553195008,"RT @MensHumor: Help out the folks from Hurricane #Sandy, text REDCROSS to 90999 to make a $10 donation or visit http://t.co/W6yS6fi9. #R ...",request
7,7,263325685551087616,"RT @kevin_powell: NEW JERSEY, If you would like to volunteer for hurricane relief,
call 1-800-Jersey-7.",request
8,8,263325722284814338,"RT @kevin_powell: NEW JERSEY, If you would like to volunteer for hurricane relief,
call 1-800-Jersey-7.",request
9,9,263327190748393472,"RT @kevin_powell: NEW JERSEY, If you would like to volunteer for hurricane relief,
call 1-800-Jersey-7.",request
10,10,263329231268872193,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
11,11,263329499607879680,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
12,12,263329635247472641,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
13,13,263330538746679297,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
14,14,263331464949669889,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
15,15,263332120255143938,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
16,16,263332406612856832,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
17,17,263334006228123648,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
18,18,263334688364584960,I just registered to donate blood for those affected by Hurricane Sandy and you should too. Go to http://t.co/WGBtKfrR and make an appt.,request
19,19,263336714024652800,RT @GalleyCat: How to schedule a blood donation or donate funds to the Red Cross to help hurricane victims: http://t.co/4fBtrAuG,request
20,20,263341361653243904,"RT @redcrossny: Thanks for support! RT @gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/cU5UEGBs",request
21,21,263345897306460160,"RT @redcrossny: Thanks for support! RT @gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/cU5UEGBs",request
22,22,263349087611531264,"RT @carolanne10: How To Volunteer, Donate To Help Hurricane Sandy Victims: Gothamist
http://t.co/ub1itY5K",request
23,23,263353117809209344,"RT @REBNY: How To Volunteer, Donate To Help Hurricane #Sandy Victims http://t.co/6QiPTSay  #Frankenstorm #NYC",request
24,24,263355146795368448,"RT @Gothamist: How To Volunteer, Donate To Help Hurricane Sandy Victims http://t.co/fXUOnzJe",request
25,25,263368404956766210,American Red Cross needs us! Hurricane Sandy has canceled 300 blood drives. Click here for ways to help &amp; give support! http://t.co/3AUz78NV,request
