tweetID,tweet-text,tweet-class
2.64368E+17,This is awesome. RT @jseverydayfash: Sell your clothes and help raise funds for victims of Hurricane #Sandy: http://t.co/K8yDKcqP,Clothing
2.64407E+17,I told Keith to donate his huge pile of clothes to the people affected by the hurricane he better do it !,Clothing
2.64419E+17,The fact that @snooki is donating so much clothes to the hurricane victims makes me respect her so much more! #yougogirl ✊💗,Clothing
2.64425E+17,RT @stylebytiffani: Now is a great time to clean out your closets &amp; donate clothing to those who lost everything in Hurricane Sandy  ...,Clothing
2.64467E+17,#shoutout to @snooki for giving up bags on bags of her own clothes to the people affected by Hurricane Sandy. 👍 #muchlove💕,Clothing
2.64733E+17,"My Mom just told me to go through my draws to take to them.""@B_Murder_: Donating clothes to the Red Cross for the hurricane victims 😊""",Clothing
2.64757E+17,All my Baltimore friends I am taking clothing donations( not$$)  for the victims of the hurricane. Dm if you wanna help. Be an angel&amp; help.,Clothing
2.64761E+17,NY/NJ real estate investors raise clothing &amp; food for victims of #Hurricane #Sandy @ Free #RealEstate training #renatus http://t.co/q73Xd7la,Clothing
2.64788E+17,More companies need to be like Diamond. RT @NickyDiamonds: Sent off some huge boxes of clothes to Hurricane Sandy victims. Anything helps.,Clothing
2.64173E+17,"Damsels it's not too late to help those affected by Hurricane Sandy! We're collecting winter clothes, blankets,... http://t.co/LdrAE7gp",Clothing
2.63803E+17,"Planet LoveJoy will be collecting clothes, blankets, shoes, and food for Hurricane Sandy disaster relief. If... http://t.co/2UPaygWQ",Clothing
2.64771E+17,if anyone can donate clothes food etc to hurricane sandy victims let me know my moms bestfriend is running a drive every little thing helps,Clothing
2.64787E+17,RT @NickyDiamonds: Sent off some huge boxes of clothes to Hurricane Sandy victims. Anything helps.,Clothing
2.64049E+17,Help newborns-in-need affected by Hurricane Sandy. Our New Jersey partner is requesting baby clothes and... http://t.co/5oQ11rRt,Clothing
2.64123E+17,Don't forget to bring your lightly worn clothes to the game tonight. Donations are going to Hurricane Sandy relief efforts #PACKTHEPIT,Clothing
2.64787E+17,“@NickyDiamonds: Sent off some huge boxes of clothes to Hurricane Sandy victims. Anything helps.” #DiamondLife #DiamondCares,Clothing
