,sno,new_tweet_text,old_tweet_text,new_label,old_label,updated,
0,0,RT @DV8INXS: #Sandyhelp @BarackObama items can be Mailed to: Hurricane Sandy Relief  c/o St. Jacobi Lutheran Church 5406 4th ave Brookly ...,RT @DV8INXS: #Sandyhelp @BarackObama items can be Mailed to: Hurricane Sandy Relief  c/o St. Jacobi Lutheran Church 5406 4th ave Brookly ...,not_request,request,1,1
1,1,Visalus will be sending all donations to the disaster relief efforts for Hurricane Sandy victims. Anyone can http://t.co/VgVHXsJm,Visalus will be sending all donations to the disaster relief efforts for Hurricane Sandy victims. Anyone can http://t.co/VgVHXsJm,not_request,not_request,1,0
2,2,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,request,not_request,1,1
3,3,Please help with Hurricane Sandy relief. One way is to donate to the American Red Cross. Many many people have... http://t.co/8ruewnUr,Please help with Hurricane Sandy relief. One way is to donate to the American Red Cross. Many many people have... http://t.co/8ruewnUr,request,request,1,0
4,4,Goin To Help The Hurricane Victims http://t.co/6WqSnl0M,Goin To Help The Hurricane Victims http://t.co/6WqSnl0M, not_request,not_request,1,1
5,5,RT @GlobalGiving: Text SANDY to 80088 to give $10 to Hurricane #Sandy Relief on GlobalGiving. http://t.co/0lutiTB5 Terms: http://t.co/bO ...,RT @GlobalGiving: Text SANDY to 80088 to give $10 to Hurricane #Sandy Relief on GlobalGiving. http://t.co/0lutiTB5 Terms: http://t.co/bO ...,request,request,1,0
6,6,"â@VDEM: Download the Red Cross ""Hurricane"" &amp; ""Shelters"" mobile apps for up-to-date tracking &amp; shelter information throughout#Sandy #VASandyâ","“@VDEM: Download the Red Cross ""Hurricane"" &amp; ""Shelters"" mobile apps for up-to-date tracking &amp; shelter information throughout#Sandy #VASandy”",not_request,not_request,1,0
7,7,"I posted 7 photos on Facebook in the album ""Hurricane Sandy Relief Efforts"" http://t.co/ZSFsNHwS","I posted 7 photos on Facebook in the album ""Hurricane Sandy Relief Efforts"" http://t.co/ZSFsNHwS",not_request,not_request,1,0
8,8,RT @UberMedia: All weekend sales of our beautiful new Alarmist Pro app go to hurricane relief efforts: http://t.co/3NSgRUDN #SandyHelp,RT @UberMedia: All weekend sales of our beautiful new Alarmist Pro app go to hurricane relief efforts: http://t.co/3NSgRUDN #SandyHelp,not_request,request,1,1
9,9,Generators &amp; Food will be donated to the Hurricane Sandy victims from the canceled ING New York City Marathon!... http://t.co/plBxgY7N,Generators &amp; Food will be donated to the Hurricane Sandy victims from the canceled ING New York City Marathon!... http://t.co/plBxgY7N,not_request,not_request,1,0
10,10,Did you know @greenlightbklyn is donating 10% of this weekend's sales to Hurricane Recovery? Go! Shop! Read!,Did you know @greenlightbklyn is donating 10% of this weekend's sales to Hurricane Recovery? Go! Shop! Read!,not_request,request,1,1
11,11,Our Hurricane Sandy shelter counts are fluctuating as power outages continue.  The night of the storm we provided... http://t.co/I5uLuOBC,Our Hurricane Sandy shelter counts are fluctuating as power outages continue.  The night of the storm we provided... http://t.co/I5uLuOBC,not_request,not_request,1,0
12,12,"Todays Spin JOurney Playlist inspired by last night's Red Cross telethon Coming Together, for hurricane relief.... http://t.co/42rBR8Zh","Todays Spin JOurney Playlist inspired by last night's Red Cross telethon Coming Together, for hurricane relief.... http://t.co/42rBR8Zh",not_request,not_request,1,0
13,13,Find out how you can help those affected by Hurricane #Sandy - http://t.co/fSf1nNae,Find out how you can help those affected by Hurricane #Sandy - http://t.co/fSf1nNae,not_request,request,1,1
14,14,@NICKIMINAJ Text RedCross to 90999 to DONATE 10$ Hurricane Sandy Relief 1-800-Help-Now #SandyHelp,@NICKIMINAJ Text RedCross to 90999 to DONATE 10$ Hurricane Sandy Relief 1-800-Help-Now #SandyHelp,request,request,1,0
15,15,"#GPV Re: Hurricane Sandy: Quote from: Sheriff Bart on October 27, 2012, 06:26:41 PMNot sure whether to laugh or ... http://t.co/GMtK8Vq3","#GPV Re: Hurricane Sandy: Quote from: Sheriff Bart on October 27, 2012, 06:26:41 PMNot sure whether to laugh or ... http://t.co/GMtK8Vq3",not_request,not_request,1,0
16,16,RT @ticketforce: Bruce Springsteen &amp; Bon Jovi are scheduled to perform tonight at NBC's benefit concert for victims of Hurricane San ...,RT @ticketforce: Bruce Springsteen &amp; Bon Jovi are scheduled to perform tonight at NBC's benefit concert for victims of Hurricane San ...,not_request,not_request,1,0
17,17,#Cuomo: #NY #Subway to #Close at 7 P.M. Sunday - 10/28/12 http://t.co/dj20F0qJ #frankenstorm #sandy,#Cuomo: #NY #Subway to #Close at 7 P.M. Sunday - 10/28/12 http://t.co/dj20F0qJ #frankenstorm #sandy,not_request,not_request,1,0
18,18,Please help out the victims of Hurricane Sandy by visiting http://t.co/Ch3ZZg8s and making a donation &lt;3 #HelpSandy,Please help out the victims of Hurricane Sandy by visiting http://t.co/Ch3ZZg8s and making a donation &lt;3 #HelpSandy,request,request,1,0
19,19,. @fritesnmeats @bigdsgrub &lt;3 RT @nystfood: NYC &amp; NJ #FoodTrucks Prove Their Worth In Hurricane #Sandy Relief Efforts. http://t.co/k07aTnIf,. @fritesnmeats @bigdsgrub &lt;3 RT @nystfood: NYC &amp; NJ #FoodTrucks Prove Their Worth In Hurricane #Sandy Relief Efforts. http://t.co/k07aTnIf,not_request,not_request,1,0
20,20,Local collection drives for Hurricane Sandy relief: Want to help the victims of Hurricane Sandy in New York and ... http://t.co/d0zmyLyd,Local collection drives for Hurricane Sandy relief: Want to help the victims of Hurricane Sandy in New York and ... http://t.co/d0zmyLyd,not_request,request,1,1
21,21,Want to help directly with the Hurricane Sandy Relief efforts??? Repost from Heather Blackburn It's official-... http://t.co/aWDTojCw,"Want to help directly with the Hurricane Sandy Relief efforts??? 

Repost from Heather Blackburn
""It's official-... http://t.co/aWDTojCw", request,request,1,1
22,22,MT Awesome! @chic_travel: Charles Hotel donates $5 of all Thanksgiving bookings to Hurricane Sandy relief efforts http://t.co/6rsmmlaL,MT Awesome! @chic_travel: Charles Hotel donates $5 of all Thanksgiving bookings to Hurricane Sandy relief efforts http://t.co/6rsmmlaL, not_request,not_request,1,1
23,23,Marines begin Hurricane Sandy relief work in Queens and Staten Island: Theyâre storming the beaches! A wave of Marines hit the most h...,"Marines begin Hurricane Sandy relief work in Queens and Staten Island: They’re storming the beaches!
A wave of Marines hit the most h...",not_request,not_request,1,0
24,24,What you can do to help after #Hurricane #Sandy: http://t.co/jRGh3BKV,What you can do to help after #Hurricane #Sandy: http://t.co/jRGh3BKV,not_request,request,1,1
25,25,Why haven't the Hurricane victims in the Hamilton Beach area seen the Red Cross? What is going on????!!!,Why haven't the Hurricane victims in the Hamilton Beach area seen the Red Cross? What is going on????!!!,not_request,not_request,1,0
26,26,â@steviegworld: All Earnings For Tonights New York Knicks Game Will Be Donated To All Hurricane Sandy Victims!!! #charitygameâ I SAID THIS!!,“@steviegworld: All Earnings For Tonights New York Knicks Game Will Be Donated To All Hurricane Sandy Victims!!! #charitygame” I SAID THIS!!,not_request,request,1,1
27,27,"Robert Paisola Fund Bayer Donates $150,000 for Hurricane Sandy Disaster Relief Efforts on N... http://t.co/joP0GMgJ http://t.co/RTkUtWv8","Robert Paisola Fund Bayer Donates $150,000 for Hurricane Sandy Disaster Relief Efforts on N... http://t.co/joP0GMgJ http://t.co/RTkUtWv8",not_request,not_request,1,0
28,28,IRS grants reprieve to Hurricane Sandy victims http://t.co/3EBPee3s,IRS grants reprieve to Hurricane Sandy victims http://t.co/3EBPee3s,not_request,not_request,1,0
29,29,Thank You Christina Aguilera @TheRealXtina singing so beautiful the song Beautiful to help Hurricane Sandy victims in tears what an artist!!,Thank You Christina Aguilera @TheRealXtina singing so beautiful the song Beautiful to help Hurricane Sandy victims in tears what an artist!!,not_request,not_request,1,0
30,30,http://t.co/Pj3sI9P3 Hurricane Sandy Relief Fund ~ Criminology &amp; Justice,http://t.co/Pj3sI9P3 Hurricane Sandy Relief Fund ~ Criminology &amp; Justice,not_request,request,1,1
31,31,#sandyhelp. It's that easy. donate $10 to help those affected by hurricane sandy text REDCROSS to 90999 http://t.co/ogXOT0U6,Help those affected by Hurricane Sandy. Text REDCROSS to 90999 to make a $10 donation or go to http://t.co/1ub9KVr2. @RedCross #SandyHelp,request,request,1,0
32,32,My prayer go out to all the families affected by Hurricane Sandy.You can text REDCROSS to 90999 to donate $10 or go to  http://t.co/aT9C3GVB,My prayer go out to all the families affected by Hurricane Sandy.You can text REDCROSS to 90999 to donate $10 or go to  http://t.co/aT9C3GVB,not_request,request,1,1
33,33,Getting together clothing and food to donate to hurricane victims on Long Island.  Every little bit helps!,Getting together clothing and food to donate to hurricane victims on Long Island.  Every little bit helps!,not_request,not_request,1,0
34,34,"The Yankees are donating $500,000 to the hurricane sandy relief fund. That's all? You cheap bastards! #yankeessuck #fuckthat","The Yankees are donating $500,000 to the hurricane sandy relief fund. That's all? You cheap bastards! #yankeessuck #fuckthat",not_request,not_request,1,0
35,35,We're sending positive thoughts to the families affected by Hurricane #Sandy. Want to help out? Here's how: http://t.co/n5dAj3B7,We're sending positive thoughts to the families affected by Hurricane #Sandy. Want to help out? Here's how: http://t.co/n5dAj3B7,not_request,request,1,1
36,36,: Please help the American Red Cross help those in Hurricane Sandy's path: http://t.co/T5ysci8j know you ha... http://t.co/SxHLFo5R,: Please help the American Red Cross help those in Hurricane Sandy's path: http://t.co/T5ysci8j know you ha... http://t.co/SxHLFo5R,request,request,1,0
37,37,Federation has set up a fund to help those who lost so much in Hurricane Sandy. Give here: http://t.co/k3zvGuKx,Federation has set up a fund to help those who lost so much in Hurricane Sandy. Give here: http://t.co/k3zvGuKx,not_request,request,1,1
38,38,Watch our slideshow of @RedCross #Hurricane #Sandy relief efforts: http://t.co/qlnmg82u,Watch our slideshow of @RedCross #Hurricane #Sandy relief efforts: http://t.co/qlnmg82u,not_request,not_request,1,0
39,39,Small Business Administration Stands Ready to Help After Hurricane Sandy http://t.co/SXuRHx8j #p2 #OFA,Small Business Administration Stands Ready to Help After Hurricane Sandy http://t.co/SXuRHx8j #p2 #OFA,not_request,not_request,1,0
40,40,Our thoughts go out to those affected by Hurricane Sandy and the emergency and relief crews working to help those affected.,Our thoughts go out to those affected by Hurricane Sandy and the emergency and relief crews working to help those affected.,not_request,not_request,1,0
41,41,I can't believe Donald Trump dangled $5 million over the American Red Cross for Hurricane Sandy. It's morally reprehensible.,I can't believe Donald Trump dangled $5 million over the American Red Cross for Hurricane Sandy. It's morally reprehensible.,not_request,not_request,1,0
42,42,"RT @ISFCollege: #ISFCollege Blog: Help Victims of Hurricane Sandy - Last week, Hurricane Sandy hit the n...  ...",Not Found,request,Not Found,0,1
43,43,Lady Gaga Donates $1M to New York and American Red Cross for Hurricane Sandy Relief: 'I Will Help You Rebuild Your S... http://t.co/WTRoCypA,Lady Gaga Donates $1M to New York and American Red Cross for Hurricane Sandy Relief: 'I Will Help You Rebuild Your S... http://t.co/WTRoCypA,not_request,not_request,1,0
44,44,@mslayel Can you please ask WWE to make a donation to help the victims of hurricane Sandy? They really need help.,@MizzHogan Can you please ask impact wrestling to make a donation to help the victims of hurricane Sandy? They need the help badly.,request,not_request,1,1
45,45,RT @CDC_DrCPortier: You can text SANDY to 87000 for alerts on Hurricane #Sandy. Stay informed!,RT @CDC_DrCPortier: You can text SANDY to 87000 for alerts on Hurricane #Sandy. Stay informed!,not_request,not_request,1,0
46,46,Text the word RESPONSE to 80888 to give an immediate $10 donation to Hurricane Disaster Response (read article... http://t.co/h8DMVhJF,Text the word RESPONSE to 80888 to give an immediate $10 donation to Hurricane Disaster Response (read article... http://t.co/h8DMVhJF,request,request,1,0
