,sno,new_tweet_text,old_tweet_text,new_label,old_label,updated
0,0,RT @DV8INXS: #Sandyhelp @BarackObama items can be Mailed to: Hurricane Sandy Relief  c/o St. Jacobi Lutheran Church 5406 4th ave Brookly ...,RT @DV8INXS: #Sandyhelp @BarackObama items can be Mailed to: Hurricane Sandy Relief  c/o St. Jacobi Lutheran Church 5406 4th ave Brookly ..., clothing,Clothing,1
1,1,Visalus will be sending all donations to the disaster relief efforts for Hurricane Sandy victims. Anyone can http://t.co/VgVHXsJm,Visalus will be sending all donations to the disaster relief efforts for Hurricane Sandy victims. Anyone can http://t.co/VgVHXsJm,not_request,Clothing,1
2,2,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,request,Clothing,1
3,2,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,request,Clothing,1
4,2,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,ATTN TRISTATE! Please text WHERE to 877877 to find out if your polling place has changed due to Hurricane Sandy. #Vote,request,Clothing,1
5,3,Please help with Hurricane Sandy relief. One way is to donate to the American Red Cross. Many many people have... http://t.co/8ruewnUr,Please help with Hurricane Sandy relief. One way is to donate to the American Red Cross. Many many people have... http://t.co/8ruewnUr,request,Clothing,1
6,4,Goin To Help The Hurricane Victims http://t.co/6WqSnl0M,Goin To Help The Hurricane Victims http://t.co/6WqSnl0M,not_request,Clothing,1
7,5,RT @GlobalGiving: Text SANDY to 80088 to give $10 to Hurricane #Sandy Relief on GlobalGiving. http://t.co/0lutiTB5 Terms: http://t.co/bO ...,RT @GlobalGiving: Text SANDY to 80088 to give $10 to Hurricane #Sandy Relief on GlobalGiving. http://t.co/0lutiTB5 Terms: http://t.co/bO ...,request,Clothing,1
8,6,"@VDEM: Download the Red Cross ""Hurricane"" &amp; ""Shelters"" mobile apps for up-to-date tracking &amp; shelter information throughout#Sandy #VASandy","“@VDEM: Download the Red Cross ""Hurricane"" &amp; ""Shelters"" mobile apps for up-to-date tracking &amp; shelter information throughout#Sandy #VASandy”",not_request,Clothing,1
9,7,"I posted 7 photos on Facebook in the album ""Hurricane Sandy Relief Efforts"" http://t.co/ZSFsNHwS","I posted 7 photos on Facebook in the album ""Hurricane Sandy Relief Efforts"" http://t.co/ZSFsNHwS",not_request,Clothing,1
10,8,RT @UberMedia: All weekend sales of our beautiful new Alarmist Pro app go to hurricane relief efforts: http://t.co/3NSgRUDN #SandyHelp,RT @UberMedia: All weekend sales of our beautiful new Alarmist Pro app go to hurricane relief efforts: http://t.co/3NSgRUDN #SandyHelp,not_request,Clothing,1
11,9,Generators &amp; Food will be donated to the Hurricane Sandy victims from the canceled ING New York City Marathon!... http://t.co/plBxgY7N,Not Found,not_request,Not Found,0
12,10,Did you know @greenlightbklyn is donating 10% of this weekend's sales to Hurricane Recovery? Go! Shop! Read!,Did you know @greenlightbklyn is donating 10% of this weekend's sales to Hurricane Recovery? Go! Shop! Read!,not_request,Clothing,1
13,11, this is good for health,Not Found, not_request,Not Found,0
14,12, I am interested in campaign,Not Found, not_request,Not Found,0
